M,K,N,nonZero,clock_cycles,clock_freq_mhz,clock_seconds,timeofday_seconds,vct_cycles,vct_seconds,vct_freq_mhz,pmu_cycles,pmu_seconds,pmu_freq_mhz,pmu_instructions,pmu_branches,pmu_branch_misses,pmu_ipc
1,512,2048,2,2,1.00,0.00000243,0.00000254,58,0.00000242,24.00,8263,0.00000257,3220.00,47152,10248,1,5.71
1,512,2048,4,2,1.00,0.00000244,0.00000243,58,0.00000242,24.00,8294,0.00000258,3220.00,47153,10248,1,5.69
1,512,2048,8,2,1.00,0.00000244,0.00000281,67,0.00000279,24.00,8294,0.00000258,3220.00,47169,10248,1,5.69
1,512,2048,16,2,1.00,0.00000243,0.00000244,58,0.00000242,24.00,8249,0.00000256,3220.00,47147,10248,1,5.72
16,512,2048,2,40,1.00,0.00004044,0.00003864,934,0.00003892,24.00,132224,0.00004106,3220.00,754012,163878,17,5.70
16,512,2048,4,39,1.00,0.00003922,0.00003885,1004,0.00004183,24.00,132354,0.00004110,3220.00,753961,163878,17,5.70
16,512,2048,8,40,1.00,0.00003961,0.00003889,937,0.00003904,24.00,132500,0.00004115,3220.00,754044,163878,17,5.69
16,512,2048,16,39,1.00,0.00003898,0.00003935,1046,0.00004358,24.00,132153,0.00004104,3220.00,753947,163878,17,5.71
64,512,2048,2,170,1.00,0.00016961,0.00016559,3836,0.00015983,24.00,533605,0.00016572,3220.00,3017374,655494,66,5.65
64,512,2048,4,157,1.00,0.00015704,0.00015846,3766,0.00015692,24.00,527499,0.00016382,3220.00,3015629,655494,65,5.72
64,512,2048,8,157,1.00,0.00015713,0.00015727,3720,0.00015500,24.00,525977,0.00016335,3220.00,3015480,655494,65,5.73
64,512,2048,16,155,1.00,0.00015543,0.00015521,3740,0.00015583,24.00,526673,0.00016356,3220.00,3015599,655494,65,5.73
256,512,2048,2,619,1.00,0.00061861,0.00062117,14876,0.00061983,24.00,2102704,0.00065301,3220.00,12061852,2621958,257,5.74
256,512,2048,4,621,1.00,0.00062117,0.00061989,15047,0.00062696,24.00,2102358,0.00065291,3220.00,12061684,2621958,257,5.74
256,512,2048,8,619,1.00,0.00061942,0.00062613,14885,0.00062021,24.00,2126904,0.00066053,3220.00,12063443,2621958,258,5.67
256,512,2048,16,624,1.00,0.00062411,0.00062744,14829,0.00061788,24.00,2106835,0.00065430,3220.00,12061783,2621958,257,5.73
1000,512,2048,2,2457,1.00,0.00245700,0.00243481,57937,0.00241404,24.00,8214244,0.00255101,3220.00,47115340,10242007,1001,5.74
1000,512,2048,4,2440,1.00,0.00244025,0.00243206,57950,0.00241458,24.00,8281380,0.00257186,3220.00,47118523,10242007,1001,5.69
1000,512,2048,8,2470,1.00,0.00246975,0.00243425,57965,0.00241521,24.00,8209451,0.00254952,3220.00,47114857,10242007,1001,5.74
1000,512,2048,16,2459,1.00,0.00245888,0.00243519,57919,0.00241329,24.00,8215533,0.00255141,3220.00,47115164,10242007,1001,5.73
4000,512,2048,2,9688,1.00,0.00968800,0.00969125,239194,0.00996642,24.00,32936840,0.01022883,3220.00,188473707,40968012,4004,5.72
4000,512,2048,4,9660,1.00,0.00966000,0.00966525,236503,0.00985429,24.00,32969046,0.01023883,3220.00,188473953,40968012,4013,5.72
4000,512,2048,8,9681,1.00,0.00968075,0.00965875,232288,0.00967867,24.00,32912354,0.01022123,3220.00,188465404,40968012,4003,5.73
4000,512,2048,16,9679,1.00,0.00967875,0.00967025,233044,0.00971017,24.00,32843629,0.01019988,3220.00,188463454,40968012,4007,5.74
16000,512,2048,2,42770,1.00,0.04277000,0.03920200,979426,0.04080942,24.00,134710058,0.04183542,3220.00,754046092,163872029,16043,5.60
16000,512,2048,4,45167,1.00,0.04516700,0.03941900,944367,0.03934862,24.00,133672585,0.04151323,3220.00,753896518,163872029,16011,5.64
16000,512,2048,8,40094,1.00,0.04009400,0.03928300,942275,0.03926146,24.00,133656084,0.04150810,3220.00,753844104,163872029,16007,5.64
16000,512,2048,16,41278,1.00,0.04127800,0.03928600,956650,0.03986042,24.00,135497389,0.04207993,3220.00,754051155,163872029,16027,5.57
64000,512,2048,2,186671,1.00,0.18667100,0.16171000,3931810,0.16382542,24.00,543645611,0.16883404,3220.00,3017644518,655488029,64210,5.55
64000,512,2048,4,186784,1.00,0.18678400,0.15797300,4032741,0.16803087,24.00,559488535,0.17375420,3220.00,3028912483,655488029,64699,5.41
64000,512,2048,8,202947,1.00,0.20294700,0.15872800,3861014,0.16087558,24.00,542702750,0.16854123,3220.00,3017417774,655488029,64449,5.56
64000,512,2048,16,189222,1.00,0.18922200,0.16396400,3873580,0.16139917,24.00,566324644,0.17587722,3220.00,3027358520,655488029,64361,5.35
